SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map
"
                                                                82 
                                                            ",KONARK RESIDENCY - I,"
 **
PCGRERA070618000082
",SUDHIR SINGH,KONARK BUILDER,Group Housing,SURGUJA,AMBIKAPUR,07 Jun 2018,"
                                                                30 Sep 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                83 
                                                            ",SHEELA HEIGHTS,"
 **
PCGRERA070618000083
",SAURABH GWALANI,GWALANI CONSTRUCTION,Group Housing,BILASPUR,BILHA,07 Jun 2018,"
                                                                31 Mar 2021
                                                            ",30 Sep 2021,"


","
 
","
 
","
 
"
"
                                                                84 
                                                            ",CHOUHAN'S PARK VIEW PHASE-III,"
PCGRERA070618000084
",AJAY KUMAR CHOUHAN,CHOUHAN HOUSING PRIVATE LIMITED,Group Housing,DURG,DURG,07 Jun 2018,"
                                                                23 May 2023
                                                            ",23 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                85 
                                                            ",VIJAYA ORCHID,"
 **
PCGRERA070618000085
",AJAY SHRIVASTAV,AADHARSHILA BUILDERS PRIVATE LIMITED,Group Housing,BILASPUR,BILHA,07 Jun 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                86 
                                                            ",VIJAYA REGENCY SECTOR B,"
 **
PCGRERA070618000086
",AJAY SHRIVASTAV,AADHARSHILA BUILDERS PRIVATE LIMITED,Group Housing,BILASPUR,BILASPUR,07 Jun 2018,"
                                                                06 Dec 2021
                                                            ",06 Jun 2022,"


","
 
","
 
","
 
"
"
                                                                87 
                                                            ",SWARNA RESIDENCY PHASE- II,"
PCGRERA070618000087
",PAWANDEEP SINGH BHATIA,M/S P.S. ASSOCIATES,Mixed Development,BILASPUR,BILASPUR,07 Jun 2018,"
                                                                31 Dec 2021
                                                            ",30 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                88 
                                                            ",NIRENDRA BAHADUR SINGH,"
PCGRERA070618000088
",NIRENDRA BAHADUR SINGH,MR NIRENDRA BAHADUR SINGH,Group Housing,SURGUJA,AMBIKAPUR,07 Jun 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 Expired
","
 
","
 
"
"
                                                                89 
                                                            ","'' SHRIJAN"" PREMIUM","
PCGRERA070618000089
",AJAY AGRAWAL ,SHRIJAN INFRAVENTURES PVT. LTD.,Group Housing,RAIPUR,RAIPUR,07 Jun 2018,"
                                                                31 Jan 2020
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                90 
                                                            ",SURYA RESIDENCY,"
PCGRERA070618000090
",SANJEEV AGRAWAL,BILTECH ENGINEERS PRIVATE LIMITED,Group Housing,DURG,DURG,07 Jun 2018,"
                                                                31 May 2023
                                                            ",29 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                91 
                                                            ",SURYA TOWER 10,"
 **
PCGRERA070618000091
",SANJEEV AGARWAL,BILTECH ENGINEERS PRIVATE LIMITED,Group Housing,DURG,DURG,07 Jun 2018,"
                                                                30 Apr 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                92 
                                                            ",KRISHNA TOWER,"
 **
PCGRERA070618000092
",PRIYESH RAJAN GUPTA,SHREE KRISHNA COLONISERS,Group Housing,RAIPUR,TILDA,07 Jun 2018,"
                                                                31 Mar 2023
                                                            ",30 Sep 2023,"


","
 
","
 
","
 
"
"
                                                                93 
                                                            ",BURLY HEIGHTS,"
 **
PCGRERA070618000093
",JITENDRA KUMAR AGRAWAL,M/S RAJENDRA ISPAT,Group Housing,DURG,DURG,07 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                94 
                                                            ",GREEN PARK,"
PCGRERA070618000094
",DHRUV NARAYAN SONI,DHRUW NARAYAN SONI,Plotted Development,MUNGELI,MUNGELI,07 Jun 2018,"
                                                                31 Dec 2022
                                                            ",30 Sep 2023,"


","
 
","
 
","
 
"
"
                                                                95 
                                                            ",ROYAL RESIDENCY PHASE- II,"
 **
PCGRERA070618000095
",MOHD. NASIM KHAN, ALISHA BUILDERS,Group Housing,BILASPUR,BILASPUR,07 Jun 2018,"
                                                                08 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                96 
                                                            ",ARPA GREEN PHASE -III,"
 **
PCGRERA070618000096
",SUSHIL PATERIYA,VRINDAVAN INFRA ESTATES PVT.LTD.,Plotted Development,BILASPUR,BILASPUR,07 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                97 
                                                            ",CAPITAL HOMES,"
 **
PCGRERA070618000097
",VIJAY NATHANI,SHRI VRINDAVAN DEVELOPERS,Plotted Development,RAIPUR,RAIPUR,07 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                98 
                                                            ",SHIVA RESIDENCY PHASE- II,"
 **
PCGRERA070618000098
",MURLIDHAR KEWLANI,SHIVA HOMES,Group Housing,RAIPUR,RAIPUR,07 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                99 
                                                            ",S.B.R. HEIGHTS,"
 **
PCGRERA070618000099
",RICHA TIWARI,SHREE NARAYANA CONSTRUCTION,Plotted Development,BILASPUR,BILASPUR,07 Jun 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
