SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map
"
                                                                57 
                                                            ",PUSHP GALAXY,"
PCGRERA050618000057
",N.P. TIWARI,N.P. TIWARI,Group Housing,DURG,DURG,05 Jun 2018,"
                                                                30 Apr 2020
                                                            ",05 Feb 2021,"


","
 Expired
","
 
","
 
"
"
                                                                58 
                                                            ",PUSHP PALLAV PHASE-IV,"
 **
PCGRERA050618000058
",ASHOK KUMAR AGRAWAL,M/S SHRIJAN BUILDERS,Group Housing,KORBA,KATGHORA,05 Jun 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                59 
                                                            ",PUSHP BELA,"
PCGRERA050618000059
",ASHOK KUMAR AGRAWAL,M/S SHRIJAN BUILDERS,Commercial,KORBA,KORBA,05 Jun 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                60 
                                                            ",POWER EMPERIA BLU,"
 **
PCGRERA060618000060
",MAHESH BHAWNANI,H.M. BUILDERS AND DEVELOPERS,Group Housing,KORBA,KORBA,06 Jun 2018,"
                                                                17 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                61 
                                                            ",ARPA GREENS,"
 **
PCGRERA060618000061
",SUSHIL PATERIYA,VRINDAVAN INFRA ESTATES PVT.LTD.,Plotted Development,BILASPUR,BILASPUR,06 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                62 
                                                            ",AVINASH VATIKA,"
PCGRERA060618000062
",ANAND SINGHANIA,AVINASH BUILDERS,Group Housing,RAIPUR,RAIPUR,06 Jun 2018,"
                                                                30 Apr 2022
                                                            ",30 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                63 
                                                            ",AVINASH SUN CITY,"
PCGRERA060618000063
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Plotted Development,RAIPUR,RAIPUR,06 Jun 2018,"
                                                                30 Apr 2021
                                                            ",30 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                64 
                                                            ",VARDHMAN SKYLINE - RAIPUR,"
 **
PCGRERA060618000064
",ABHISHEK BACHHAWAT,VARDHMAN VILLAS PRIVATE LIMITED ,Group Housing,RAIPUR,RAIPUR,06 Jun 2018,"
                                                                30 Nov 2019
                                                            ",30 Aug 2021,"


","
 
","
 
","
 
"
"
                                                                65 
                                                            ",DEVKI HOMES PHASE - I,"
PCGRERA060618000065
",SUMIT MISHRA,URJA PROPERTIES PVT.LTD,Group Housing,BASTAR,JAGDALPUR,06 Jun 2018,"
                                                                30 Mar 2021
                                                            ",30 Dec 2021,"


","
 Expired
","
 
","
 
"
"
                                                                66 
                                                            ",PUSHP PALLAV PHASE- I,"
 **
PCGRERA060618000066
",ASHOK KUMAR AGRAWAL,M/S SHRIJAN BUILDERS,Group Housing,KORBA,KORBA,06 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                67 
                                                            ",SAI VILLAS & APARTMENT PHASE - I,"
 **
PCGRERA060618000067
",SUNIL CHANDRAKAR,BHARDWAJ PROMOTERS & BUILDERS,Group Housing,DURG,DHAMDHA,06 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                68 
                                                            ",AVINASH AASHIYANA,"
 **
PCGRERA060618000068
",ANAND SINGHANIA,AVINASH BUILDERS,Group Housing,RAIPUR,RAIPUR,06 Jun 2018,"
                                                                31 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
"
"
                                                                69 
                                                            ",VINAYAK HEIGHTS JORA,"
PCGRERA060618000069
",RASJEET SINGH KHANUJA,KARANVEER INFRAVENTURES PVT.LTD.,Group Housing,RAIPUR,RAIPUR,06 Jun 2018,"
                                                                30 Jun 2021
                                                            ",30 Mar 2023,"


","
 
","
 
","
 
"
